title,artist,image_url,image_path
"Vase of Flowers with Jewel, Coins and Shells",Jan Brueghel il Vecchio “Dei Velluti” (1568-1625),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Jan-Brueghel-il-Vecchio-Dei-Velluti-Vaso-di-fiori-con-gioiello-monete-e-conchiglie-1-696x1024.jpg,"ambrosiana_images/Vase_of_Flowers_with_Jewel,_Coins_and_Shells.jpg"
The Adoration of the Magi,Pier Francesco Mazzucchelli also known as Morazzone (1571-1626),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Pier-Francesco-Mazzucchelli-detto-il-Morazzone-Adorazione-dei-Magi-1-682x1024.jpg,ambrosiana_images/The_Adoration_of_the_Magi.jpg
Diana the Huntress,Joachim Friess (XVI-XVII secolo),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Joachim-Friess-Trofeo-o-gioco-motorio-con-Diana-cacciatrice-1-746x1024.jpg,ambrosiana_images/Diana_the_Huntress.jpg
Seascape,Paul Bril (1554-1626),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Paul-Bril-Veduta-marina-1024x723.jpg,ambrosiana_images/Seascape.jpg
The Last Supper,Andrea Bianchi detto il Vespino (attivo 1612-1640),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Andrea-Bianchi-detto-il-Vespino-Ultima-Cena-1024x146.jpg,ambrosiana_images/The_Last_Supper.jpg
The Virgin of the Rocks,Andrea Bianchi detto il Vespino (attivo 1612-1640),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Andrea-Bianchi-detto-il-Vespino-Vergine-delle-rocce-626x1024.jpg,ambrosiana_images/The_Virgin_of_the_Rocks.jpg
The Holy Family,Carlo Francesco Nuvolone (1609-1661),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Carlo-Francesco-Nuvolone-Sacra-Famiglia-728x1024.jpg,ambrosiana_images/The_Holy_Family.jpg
Allegory of Water,Jan Brueghel il Vecchio “Dei Velluti” (1568-1625),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Jan-Brueghel-il-Vecchio-Dei-Velluti-Allegoria-dell-acqua-1024x694.jpg,ambrosiana_images/Allegory_of_Water.jpg
The Magdalen and the Angel,Giulio Cesare Procaccini (1574-1625),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Giulio-Cesare-Procaccini-La-Maddalena-665x1024.jpg,ambrosiana_images/The_Magdalen_and_the_Angel.jpg
Portrait of Manfredo Settala,Daniele Crespi (1600-1630) attribuito a,https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Daniele-Crespi-Ritratto-di-Manfredo-Settala-723x1024.jpg,ambrosiana_images/Portrait_of_Manfredo_Settala.jpg
